checkpoint,step,n_scored,n_unique_pairs,judge_accuracy,gen_win_rate,p_gen_mean,a_rate,expected_a_rate,a_rate_excess,n_hard_fail
9b-train10pct-step0,0,440,440,0.8204545454545454,0.17954545454545454,0.20483960263317016,0.525,0.5,0.025000000000000022,0
9b-train10pct-step12,12,440,440,0.8136363636363636,0.18636363636363637,0.20880879033739344,0.48409090909090907,0.48863636363636365,-0.004545454545454575,0
9b-train10pct-step24,24,440,440,0.8068181818181818,0.19318181818181818,0.2087077253256305,0.49318181818181817,0.4863636363636364,0.006818181818181779,0
9b-train10pct-step36,36,440,440,0.7659090909090909,0.2340909090909091,0.25509897814476296,0.5045454545454545,0.5159090909090909,-0.011363636363636354,0
9b-train10pct-step48,48,440,440,0.6522727272727272,0.3477272727272727,0.3640781829997504,0.4818181818181818,0.47954545454545455,0.0022727272727272596,0
9b-train10pct-step60,60,440,440,0.6318181818181818,0.36818181818181817,0.38220716983252395,0.4727272727272727,0.5227272727272727,-0.04999999999999999,0
9b-train10pct-step72,72,440,440,0.6727272727272727,0.32727272727272727,0.33457919341971176,0.49772727272727274,0.5022727272727273,-0.004545454545454575,0
9b-train10pct-step84,84,440,440,0.6363636363636364,0.36363636363636365,0.3639725608803855,0.5454545454545454,0.5272727272727272,0.018181818181818188,0
9b-train10pct-step96,96,440,440,0.6045454545454545,0.39545454545454545,0.39966802502435855,0.4659090909090909,0.525,-0.05909090909090914,0
9b-train10pct-step108,108,440,440,0.6181818181818182,0.38181818181818183,0.38512113340660814,0.4909090909090909,0.5272727272727272,-0.03636363636363632,0
9b-train10pct-step120,120,440,440,0.5409090909090909,0.4590909090909091,0.47503475421863295,0.5113636363636364,0.47954545454545455,0.0318181818181818,0
