cell,prompt_style,thinking_mode,n_pairs,accuracy_half_tie,accuracy_parse_ok,tie_rate,failure_rate,pick_a_rate,a_rate_half_tie,pair_source,run_root
judge-9b-rating-trained-t07,rating_only,on,880,0.7284090909090909,0.7284090909090909,0.0,0.0,0.5840909090909091,0.5840909090909091,/home/lancewicki/projects/turing-rl/results/2026-07-08-judge-sweep/raw/pairs/prism_heldout_880.parquet,/home/lancewicki/projects/turing-rl/results/2026-09-16-rating-judge-880/raw/sweep
judge-9b-rating-trained-t10,rating_only,on,880,0.7159090909090909,0.7159090909090909,0.0,0.0,0.5625,0.5625,/home/lancewicki/projects/turing-rl/results/2026-07-08-judge-sweep/raw/pairs/prism_heldout_880.parquet,/home/lancewicki/projects/turing-rl/results/2026-09-16-rating-judge-880/raw/sweep
judge-9b-rating-zeroshot-t10,rating_only,on,880,0.7,0.705607476635514,0.02727272727272727,0.0,0.4077102803738318,0.4102272727272727,/home/lancewicki/projects/turing-rl/results/2026-07-08-judge-sweep/raw/pairs/prism_heldout_880.parquet,/home/lancewicki/projects/turing-rl/results/2026-09-16-rating-judge-880/raw/sweep
judge-9b-rating-zeroshot-t07,rating_only,on,880,0.6909090909090909,0.6953488372093023,0.022727272727272728,0.0,0.3953488372093023,0.3977272727272727,/home/lancewicki/projects/turing-rl/results/2026-07-08-judge-sweep/raw/pairs/prism_heldout_880.parquet,/home/lancewicki/projects/turing-rl/results/2026-09-16-rating-judge-880/raw/sweep
