cell,prompt_style,thinking_mode,n_pairs,accuracy_half_tie,accuracy_parse_ok,tie_rate,failure_rate,pick_a_rate,a_rate_half_tie,pair_source,run_root
judge-9b-rating-trained-t10,rating_only,on,880,0.6039772727272728,0.6040955631399317,0.0011363636363636363,0.0,0.6200227531285551,0.6198863636363636,/home/lancewicki/projects/turing-rl/results/2026-08-10-test-eval-9b-full5ep-full-schema/raw/pairs/gen_9b-full5ep-step0_880.parquet,/home/lancewicki/projects/turing-rl/results/2026-09-16-rating-judge-880-nopp/raw/sweep
judge-9b-rating-trained-t07,rating_only,on,880,0.6017045454545454,0.6018202502844141,0.0011363636363636363,0.0,0.6450511945392492,0.6448863636363636,/home/lancewicki/projects/turing-rl/results/2026-08-10-test-eval-9b-full5ep-full-schema/raw/pairs/gen_9b-full5ep-step0_880.parquet,/home/lancewicki/projects/turing-rl/results/2026-09-16-rating-judge-880-nopp/raw/sweep
judge-9b-rating-zeroshot-t07,rating_only,on,880,0.5448863636363637,0.5464159811985899,0.03295454545454545,0.0,0.4488836662749706,0.4505681818181818,/home/lancewicki/projects/turing-rl/results/2026-08-10-test-eval-9b-full5ep-full-schema/raw/pairs/gen_9b-full5ep-step0_880.parquet,/home/lancewicki/projects/turing-rl/results/2026-09-16-rating-judge-880-nopp/raw/sweep
judge-9b-rating-zeroshot-t10,rating_only,on,880,0.5181818181818182,0.5195729537366548,0.04090909090909091,0.0011363636363636363,0.4080664294187426,0.4118316268486917,/home/lancewicki/projects/turing-rl/results/2026-08-10-test-eval-9b-full5ep-full-schema/raw/pairs/gen_9b-full5ep-step0_880.parquet,/home/lancewicki/projects/turing-rl/results/2026-09-16-rating-judge-880-nopp/raw/sweep
